delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion
2.5,77,19,17,4,0.475,0.425,0.1
2.5,78,21,15,4,0.525,0.375,0.1
2.5,79,40,0,0,1.0,0.0,0.0
2.5,80,22,13,5,0.55,0.325,0.125
2.5,81,31,8,1,0.775,0.2,0.025
2.5,82,40,0,0,1.0,0.0,0.0
2.5,83,40,0,0,1.0,0.0,0.0
2.5,84,23,12,5,0.575,0.3,0.125
2.5,85,9,22,9,0.225,0.55,0.225
2.5,86,25,11,4,0.625,0.275,0.1
2.5,87,40,0,0,1.0,0.0,0.0
2.5,88,40,0,0,1.0,0.0,0.0
2.5,89,22,13,5,0.55,0.325,0.125
2.5,90,20,13,7,0.5,0.325,0.175
2.5,91,18,18,4,0.45,0.45,0.1
2.5,92,40,0,0,1.0,0.0,0.0
2.5,93,26,13,1,0.65,0.325,0.025
2.5,94,9,26,5,0.225,0.65,0.125
2.5,95,40,0,0,1.0,0.0,0.0
2.5,96,14,21,5,0.35,0.525,0.125
2.5,97,14,22,4,0.35,0.55,0.1
2.5,98,40,0,0,1.0,0.0,0.0
2.5,99,13,21,6,0.325,0.525,0.15
3.0,0,40,0,0,1.0,0.0,0.0
3.0,1,40,0,0,1.0,0.0,0.0
3.0,2,40,0,0,1.0,0.0,0.0
3.0,3,40,0,0,1.0,0.0,0.0
3.0,4,40,0,0,1.0,0.0,0.0
3.0,5,40,0,0,1.0,0.0,0.0
3.0,6,40,0,0,1.0,0.0,0.0
3.0,7,40,0,0,1.0,0.0,0.0
3.0,8,20,16,4,0.5,0.4,0.1
3.0,9,17,21,2,0.425,0.525,0.05
3.0,10,6,23,11,0.15,0.575,0.275
3.0,11,19,13,8,0.475,0.325,0.2
3.0,12,40,0,0,1.0,0.0,0.0
3.0,13,15,20,5,0.375,0.5,0.125
3.0,14,25,10,5,0.625,0.25,0.125
3.0,15,17,18,5,0.425,0.45,0.125
3.0,16,34,6,0,0.85,0.15,0.0
3.0,17,20,15,5,0.5,0.375,0.125
3.0,18,16,17,7,0.4,0.425,0.175
3.0,19,23,13,4,0.575,0.325,0.1
3.0,20,40,0,0,1.0,0.0,0.0
3.0,21,20,18,2,0.5,0.45,0.05
3.0,22,22,12,6,0.55,0.3,0.15
3.0,23,20,13,7,0.5,0.325,0.175
3.0,24,14,18,8,0.35,0.45,0.2
3.0,25,40,0,0,1.0,0.0,0.0
3.0,26,40,0,0,1.0,0.0,0.0
3.0,27,27,10,3,0.675,0.25,0.075
3.0,28,20,15,5,0.5,0.375,0.125
3.0,29,16,20,4,0.4,0.5,0.1
3.0,30,20,14,6,0.5,0.35,0.15
3.0,31,40,0,0,1.0,0.0,0.0
3.0,32,15,20,5,0.375,0.5,0.125
3.0,33,20,15,5,0.5,0.375,0.125
3.0,34,22,14,4,0.55,0.35,0.1
3.0,35,40,0,0,1.0,0.0,0.0
3.0,36,40,0,0,1.0,0.0,0.0
3.0,37,25,12,3,0.625,0.3,0.075
3.0,38,40,0,0,1.0,0.0,0.0
3.0,39,40,0,0,1.0,0.0,0.0
3.0,40,40,0,0,1.0,0.0,0.0
3.0,41,40,0,0,1.0,0.0,0.0
3.0,42,21,17,2,0.525,0.425,0.05
3.0,43,14,20,6,0.35,0.5,0.15
3.0,44,40,0,0,1.0,0.0,0.0
3.0,45,12,20,8,0.3,0.5,0.2
3.0,46,14,22,4,0.35,0.55,0.1
3.0,47,12,22,6,0.3,0.55,0.15
3.0,48,18,19,3,0.45,0.475,0.075
3.0,49,22,14,4,0.55,0.35,0.1
3.0,50,28,7,5,0.7,0.175,0.125
3.0,51,40,0,0,1.0,0.0,0.0
3.0,52,40,0,0,1.0,0.0,0.0
3.0,53,40,0,0,1.0,0.0,0.0
3.0,54,16,21,3,0.4,0.525,0.075
3.0,55,21,14,5,0.525,0.35,0.125
3.0,56,40,0,0,1.0,0.0,0.0
3.0,57,40,0,0,1.0,0.0,0.0
3.0,58,21,15,4,0.525,0.375,0.1
3.0,59,19,14,7,0.475,0.35,0.175
3.0,60,40,0,0,1.0,0.0,0.0
3.0,61,40,0,0,1.0,0.0,0.0
3.0,62,26,12,2,0.65,0.3,0.05
3.0,63,17,21,2,0.425,0.525,0.05
3.0,64,11,23,6,0.275,0.575,0.15
3.0,65,25,12,3,0.625,0.3,0.075
3.0,66,21,15,4,0.525,0.375,0.1
3.0,67,25,13,2,0.625,0.325,0.05
3.0,68,31,6,3,0.775,0.15,0.075
3.0,69,8,26,6,0.2,0.65,0.15
3.0,70,17,16,7,0.425,0.4,0.175
3.0,71,27,10,3,0.675,0.25,0.075
3.0,72,40,0,0,1.0,0.0,0.0
3.0,73,20,14,6,0.5,0.35,0.15
3.0,74,40,0,0,1.0,0.0,0.0
3.0,75,11,20,9,0.275,0.5,0.225
3.0,76,26,13,1,0.65,0.325,0.025
3.0,77,16,18,6,0.4,0.45,0.15
3.0,78,24,15,1,0.6,0.375,0.025
3.0,79,40,0,0,1.0,0.0,0.0
3.0,80,22,10,8,0.55,0.25,0.2
3.0,81,9,25,6,0.225,0.625,0.15
3.0,82,21,17,2,0.525,0.425,0.05
3.0,83,40,0,0,1.0,0.0,0.0
3.0,84,16,17,7,0.4,0.425,0.175
3.0,85,13,24,3,0.325,0.6,0.075
3.0,86,21,15,4,0.525,0.375,0.1
3.0,87,40,0,0,1.0,0.0,0.0
3.0,88,16,20,4,0.4,0.5,0.1
3.0,89,40,0,0,1.0,0.0,0.0
3.0,90,15,17,8,0.375,0.425,0.2
3.0,91,40,0,0,1.0,0.0,0.0
3.0,92,40,0,0,1.0,0.0,0.0
3.0,93,40,0,0,1.0,0.0,0.0
3.0,94,40,0,0,1.0,0.0,0.0
3.0,95,9,23,8,0.225,0.575,0.2
3.0,96,21,15,4,0.525,0.375,0.1
3.0,97,40,0,0,1.0,0.0,0.0
3.0,98,5,26,9,0.125,0.65,0.225
3.0,99,40,0,0,1.0,0.0,0.0
3.5,0,40,0,0,1.0,0.0,0.0
3.5,1,40,0,0,1.0,0.0,0.0
3.5,2,40,0,0,1.0,0.0,0.0
3.5,3,17,15,8,0.425,0.375,0.2
3.5,4,40,0,0,1.0,0.0,0.0
3.5,5,19,17,4,0.475,0.425,0.1
3.5,6,40,0,0,1.0,0.0,0.0
3.5,7,15,17,8,0.375,0.425,0.2
3.5,8,30,8,2,0.75,0.2,0.05
3.5,9,40,0,0,1.0,0.0,0.0
3.5,10,11,21,8,0.275,0.525,0.2
3.5,11,40,0,0,1.0,0.0,0.0
3.5,12,40,0,0,1.0,0.0,0.0
3.5,13,40,0,0,1.0,0.0,0.0
3.5,14,20,9,11,0.5,0.225,0.275
3.5,15,40,0,0,1.0,0.0,0.0
3.5,16,40,0,0,1.0,0.0,0.0
3.5,17,16,17,7,0.4,0.425,0.175
3.5,18,15,22,3,0.375,0.55,0.075
3.5,19,18,13,9,0.45,0.325,0.225
3.5,20,14,22,4,0.35,0.55,0.1
3.5,21,11,22,7,0.275,0.55,0.175
3.5,22,22,10,8,0.55,0.25,0.2
3.5,23,11,21,8,0.275,0.525,0.2
3.5,24,15,21,4,0.375,0.525,0.1
3.5,25,40,0,0,1.0,0.0,0.0
3.5,26,16,17,7,0.4,0.425,0.175
3.5,27,9,23,8,0.225,0.575,0.2
3.5,28,40,0,0,1.0,0.0,0.0
3.5,29,29,8,3,0.725,0.2,0.075
3.5,30,40,0,0,1.0,0.0,0.0
3.5,31,40,0,0,1.0,0.0,0.0
3.5,32,18,10,12,0.45,0.25,0.3
3.5,33,40,0,0,1.0,0.0,0.0
3.5,34,28,8,4,0.7,0.2,0.1
3.5,35,40,0,0,1.0,0.0,0.0
3.5,36,17,19,4,0.425,0.475,0.1
3.5,37,19,17,4,0.475,0.425,0.1
3.5,38,40,0,0,1.0,0.0,0.0
3.5,39,28,8,4,0.7,0.2,0.1
3.5,40,9,21,10,0.225,0.525,0.25
3.5,41,40,0,0,1.0,0.0,0.0
3.5,42,40,0,0,1.0,0.0,0.0
3.5,43,30,6,4,0.75,0.15,0.1
3.5,44,40,0,0,1.0,0.0,0.0
3.5,45,26,8,6,0.65,0.2,0.15
3.5,46,40,0,0,1.0,0.0,0.0
3.5,47,40,0,0,1.0,0.0,0.0
3.5,48,40,0,0,1.0,0.0,0.0
3.5,49,19,14,7,0.475,0.35,0.175
3.5,50,28,6,6,0.7,0.15,0.15
3.5,51,40,0,0,1.0,0.0,0.0
3.5,52,21,14,5,0.525,0.35,0.125
3.5,53,21,14,5,0.525,0.35,0.125
3.5,54,17,14,9,0.425,0.35,0.225
3.5,55,10,16,14,0.25,0.4,0.35
3.5,56,18,17,5,0.45,0.425,0.125
3.5,57,40,0,0,1.0,0.0,0.0
3.5,58,23,10,7,0.575,0.25,0.175
3.5,59,24,10,6,0.6,0.25,0.15
3.5,60,19,16,5,0.475,0.4,0.125
3.5,61,40,0,0,1.0,0.0,0.0
3.5,62,19,15,6,0.475,0.375,0.15
3.5,63,22,17,1,0.55,0.425,0.025
3.5,64,26,9,5,0.65,0.225,0.125
3.5,65,21,16,3,0.525,0.4,0.075
3.5,66,5,23,12,0.125,0.575,0.3
3.5,67,17,17,6,0.425,0.425,0.15
3.5,68,29,10,1,0.725,0.25,0.025
3.5,69,23,10,7,0.575,0.25,0.175
3.5,70,12,17,11,0.3,0.425,0.275
3.5,71,21,13,6,0.525,0.325,0.15
3.5,72,40,0,0,1.0,0.0,0.0
3.5,73,40,0,0,1.0,0.0,0.0
3.5,74,19,13,8,0.475,0.325,0.2
3.5,75,27,8,5,0.675,0.2,0.125
3.5,76,40,0,0,1.0,0.0,0.0
3.5,77,40,0,0,1.0,0.0,0.0
3.5,78,40,0,0,1.0,0.0,0.0
3.5,79,16,17,7,0.4,0.425,0.175
3.5,80,15,19,6,0.375,0.475,0.15
3.5,81,40,0,0,1.0,0.0,0.0
3.5,82,17,17,6,0.425,0.425,0.15
3.5,83,24,13,3,0.6,0.325,0.075
3.5,84,40,0,0,1.0,0.0,0.0
3.5,85,11,22,7,0.275,0.55,0.175
3.5,86,14,19,7,0.35,0.475,0.175
3.5,87,40,0,0,1.0,0.0,0.0
3.5,88,40,0,0,1.0,0.0,0.0
3.5,89,40,0,0,1.0,0.0,0.0
3.5,90,11,22,7,0.275,0.55,0.175
3.5,91,9,18,13,0.225,0.45,0.325
3.5,92,40,0,0,1.0,0.0,0.0
3.5,93,14,13,13,0.35,0.325,0.325
3.5,94,21,13,6,0.525,0.325,0.15
3.5,95,40,0,0,1.0,0.0,0.0
3.5,96,21,10,9,0.525,0.25,0.225
3.5,97,22,6,12,0.55,0.15,0.3
3.5,98,30,9,1,0.75,0.225,0.025
3.5,99,40,0,0,1.0,0.0,0.0
4.0,0,40,0,0,1.0,0.0,0.0
4.0,1,27,6,7,0.675,0.15,0.175
4.0,2,40,0,0,1.0,0.0,0.0
4.0,3,23,14,3,0.575,0.35,0.075
4.0,4,40,0,0,1.0,0.0,0.0
4.0,5,40,0,0,1.0,0.0,0.0
4.0,6,40,0,0,1.0,0.0,0.0
4.0,7,25,10,5,0.625,0.25,0.125
4.0,8,18,17,5,0.45,0.425,0.125
4.0,9,19,15,6,0.475,0.375,0.15
4.0,10,36,3,1,0.9,0.075,0.025
4.0,11,40,0,0,1.0,0.0,0.0
4.0,12,14,12,14,0.35,0.3,0.35
4.0,13,40,0,0,1.0,0.0,0.0
4.0,14,8,31,1,0.2,0.775,0.025
4.0,15,40,0,0,1.0,0.0,0.0
4.0,16,29,6,5,0.725,0.15,0.125
4.0,17,40,0,0,1.0,0.0,0.0
4.0,18,40,0,0,1.0,0.0,0.0
4.0,19,12,20,8,0.3,0.5,0.2
4.0,20,20,12,8,0.5,0.3,0.2
4.0,21,19,17,4,0.475,0.425,0.1
4.0,22,40,0,0,1.0,0.0,0.0
4.0,23,14,16,10,0.35,0.4,0.25
4.0,24,22,9,9,0.55,0.225,0.225
4.0,25,40,0,0,1.0,0.0,0.0
4.0,26,40,0,0,1.0,0.0,0.0
4.0,27,18,19,3,0.45,0.475,0.075
4.0,28,24,11,5,0.6,0.275,0.125
4.0,29,16,16,8,0.4,0.4,0.2
4.0,30,40,0,0,1.0,0.0,0.0
4.0,31,40,0,0,1.0,0.0,0.0
4.0,32,40,0,0,1.0,0.0,0.0
4.0,33,40,0,0,1.0,0.0,0.0
4.0,34,40,0,0,1.0,0.0,0.0
4.0,35,22,13,5,0.55,0.325,0.125
4.0,36,40,0,0,1.0,0.0,0.0
4.0,37,22,13,5,0.55,0.325,0.125
4.0,38,40,0,0,1.0,0.0,0.0
4.0,39,19,14,7,0.475,0.35,0.175
4.0,40,22,12,6,0.55,0.3,0.15
4.0,41,24,12,4,0.6,0.3,0.1
4.0,42,9,23,8,0.225,0.575,0.2
4.0,43,40,0,0,1.0,0.0,0.0
4.0,44,16,12,12,0.4,0.3,0.3
4.0,45,11,21,8,0.275,0.525,0.2
4.0,46,40,0,0,1.0,0.0,0.0
4.0,47,28,7,5,0.7,0.175,0.125
4.0,48,40,0,0,1.0,0.0,0.0
4.0,49,33,4,3,0.825,0.1,0.075
4.0,50,40,0,0,1.0,0.0,0.0
4.0,51,40,0,0,1.0,0.0,0.0
4.0,52,20,13,7,0.5,0.325,0.175
4.0,53,40,0,0,1.0,0.0,0.0
4.0,54,20,13,7,0.5,0.325,0.175
4.0,55,17,14,9,0.425,0.35,0.225
4.0,56,40,0,0,1.0,0.0,0.0
4.0,57,18,17,5,0.45,0.425,0.125
4.0,58,14,20,6,0.35,0.5,0.15
4.0,59,40,0,0,1.0,0.0,0.0
4.0,60,40,0,0,1.0,0.0,0.0
4.0,61,40,0,0,1.0,0.0,0.0
4.0,62,40,0,0,1.0,0.0,0.0
4.0,63,40,0,0,1.0,0.0,0.0
4.0,64,20,15,5,0.5,0.375,0.125
4.0,65,17,15,8,0.425,0.375,0.2
4.0,66,40,0,0,1.0,0.0,0.0
4.0,67,40,0,0,1.0,0.0,0.0
4.0,68,40,0,0,1.0,0.0,0.0
4.0,69,40,0,0,1.0,0.0,0.0
4.0,70,18,18,4,0.45,0.45,0.1
4.0,71,40,0,0,1.0,0.0,0.0
4.0,72,29,9,2,0.725,0.225,0.05
4.0,73,10,16,14,0.25,0.4,0.35
4.0,74,40,0,0,1.0,0.0,0.0
4.0,75,17,14,9,0.425,0.35,0.225
4.0,76,21,10,9,0.525,0.25,0.225
4.0,77,17,16,7,0.425,0.4,0.175
4.0,78,16,12,12,0.4,0.3,0.3
4.0,79,28,5,7,0.7,0.125,0.175
4.0,80,18,19,3,0.45,0.475,0.075
4.0,81,40,0,0,1.0,0.0,0.0
4.0,82,40,0,0,1.0,0.0,0.0
4.0,83,29,7,4,0.725,0.175,0.1
4.0,84,22,10,8,0.55,0.25,0.2
4.0,85,40,0,0,1.0,0.0,0.0
4.0,86,6,20,14,0.15,0.5,0.35
4.0,87,16,16,8,0.4,0.4,0.2
4.0,88,40,0,0,1.0,0.0,0.0
4.0,89,28,7,5,0.7,0.175,0.125
4.0,90,40,0,0,1.0,0.0,0.0
4.0,91,40,0,0,1.0,0.0,0.0
4.0,92,40,0,0,1.0,0.0,0.0
4.0,93,11,22,7,0.275,0.55,0.175
4.0,94,40,0,0,1.0,0.0,0.0
4.0,95,21,14,5,0.525,0.35,0.125
4.0,96,40,0,0,1.0,0.0,0.0
4.0,97,40,0,0,1.0,0.0,0.0
4.0,98,40,0,0,1.0,0.0,0.0
4.0,99,31,7,2,0.775,0.175,0.05
4.5,0,40,0,0,1.0,0.0,0.0
4.5,1,23,8,9,0.575,0.2,0.225
4.5,2,40,0,0,1.0,0.0,0.0
4.5,3,19,11,10,0.475,0.275,0.25
4.5,4,21,12,7,0.525,0.3,0.175
4.5,5,22,10,8,0.55,0.25,0.2
4.5,6,40,0,0,1.0,0.0,0.0
4.5,7,40,0,0,1.0,0.0,0.0
4.5,8,40,0,0,1.0,0.0,0.0
4.5,9,8,20,12,0.2,0.5,0.3
4.5,10,40,0,0,1.0,0.0,0.0
4.5,11,40,0,0,1.0,0.0,0.0
4.5,12,32,6,2,0.8,0.15,0.05
4.5,13,40,0,0,1.0,0.0,0.0
4.5,14,40,0,0,1.0,0.0,0.0
4.5,15,40,0,0,1.0,0.0,0.0
4.5,16,26,10,4,0.65,0.25,0.1
4.5,17,40,0,0,1.0,0.0,0.0
4.5,18,40,0,0,1.0,0.0,0.0
4.5,19,22,10,8,0.55,0.25,0.2
4.5,20,24,15,1,0.6,0.375,0.025
4.5,21,23,7,10,0.575,0.175,0.25
4.5,22,40,0,0,1.0,0.0,0.0
4.5,23,40,0,0,1.0,0.0,0.0
4.5,24,17,14,9,0.425,0.35,0.225
4.5,25,23,9,8,0.575,0.225,0.2
4.5,26,40,0,0,1.0,0.0,0.0
4.5,27,19,14,7,0.475,0.35,0.175
4.5,28,40,0,0,1.0,0.0,0.0
4.5,29,40,0,0,1.0,0.0,0.0
4.5,30,27,8,5,0.675,0.2,0.125
4.5,31,32,4,4,0.8,0.1,0.1
4.5,32,40,0,0,1.0,0.0,0.0
4.5,33,40,0,0,1.0,0.0,0.0
4.5,34,25,8,7,0.625,0.2,0.175
4.5,35,40,0,0,1.0,0.0,0.0
4.5,36,40,0,0,1.0,0.0,0.0
4.5,37,25,10,5,0.625,0.25,0.125
4.5,38,30,7,3,0.75,0.175,0.075
4.5,39,15,9,16,0.375,0.225,0.4
4.5,40,40,0,0,1.0,0.0,0.0
4.5,41,12,20,8,0.3,0.5,0.2
4.5,42,40,0,0,1.0,0.0,0.0
4.5,43,40,0,0,1.0,0.0,0.0
4.5,44,18,13,9,0.45,0.325,0.225
4.5,45,40,0,0,1.0,0.0,0.0
4.5,46,9,19,12,0.225,0.475,0.3
4.5,47,40,0,0,1.0,0.0,0.0
4.5,48,40,0,0,1.0,0.0,0.0
4.5,49,40,0,0,1.0,0.0,0.0
4.5,50,40,0,0,1.0,0.0,0.0
4.5,51,27,7,6,0.675,0.175,0.15
4.5,52,29,9,2,0.725,0.225,0.05
4.5,53,40,0,0,1.0,0.0,0.0
4.5,54,17,18,5,0.425,0.45,0.125
4.5,55,40,0,0,1.0,0.0,0.0
4.5,56,28,9,3,0.7,0.225,0.075
4.5,57,40,0,0,1.0,0.0,0.0
4.5,58,24,14,2,0.6,0.35,0.05
4.5,59,21,15,4,0.525,0.375,0.1
4.5,60,29,2,9,0.725,0.05,0.225
4.5,61,16,15,9,0.4,0.375,0.225
4.5,62,40,0,0,1.0,0.0,0.0
4.5,63,40,0,0,1.0,0.0,0.0
4.5,64,40,0,0,1.0,0.0,0.0
4.5,65,13,19,8,0.325,0.475,0.2
4.5,66,40,0,0,1.0,0.0,0.0
4.5,67,21,12,7,0.525,0.3,0.175
4.5,68,40,0,0,1.0,0.0,0.0
4.5,69,40,0,0,1.0,0.0,0.0
4.5,70,26,9,5,0.65,0.225,0.125
4.5,71,27,8,5,0.675,0.2,0.125
4.5,72,26,10,4,0.65,0.25,0.1
4.5,73,40,0,0,1.0,0.0,0.0
4.5,74,16,12,12,0.4,0.3,0.3
4.5,75,40,0,0,1.0,0.0,0.0
4.5,76,26,6,8,0.65,0.15,0.2
4.5,77,29,7,4,0.725,0.175,0.1
4.5,78,40,0,0,1.0,0.0,0.0
4.5,79,40,0,0,1.0,0.0,0.0
4.5,80,40,0,0,1.0,0.0,0.0
4.5,81,28,6,6,0.7,0.15,0.15
4.5,82,40,0,0,1.0,0.0,0.0
4.5,83,19,18,3,0.475,0.45,0.075
4.5,84,13,23,4,0.325,0.575,0.1
4.5,85,12,21,7,0.3,0.525,0.175
4.5,86,11,12,17,0.275,0.3,0.425
4.5,87,19,11,10,0.475,0.275,0.25
4.5,88,40,0,0,1.0,0.0,0.0
4.5,89,40,0,0,1.0,0.0,0.0
4.5,90,40,0,0,1.0,0.0,0.0
4.5,91,40,0,0,1.0,0.0,0.0
4.5,92,13,13,14,0.325,0.325,0.35
4.5,93,40,0,0,1.0,0.0,0.0
4.5,94,32,8,0,0.8,0.2,0.0
4.5,95,40,0,0,1.0,0.0,0.0
4.5,96,19,10,11,0.475,0.25,0.275
4.5,97,40,0,0,1.0,0.0,0.0
4.5,98,40,0,0,1.0,0.0,0.0
4.5,99,20,16,4,0.5,0.4,0.1
5.0,0,40,0,0,1.0,0.0,0.0
5.0,1,40,0,0,1.0,0.0,0.0
5.0,2,24,9,7,0.6,0.225,0.175
5.0,3,23,13,4,0.575,0.325,0.1
5.0,4,40,0,0,1.0,0.0,0.0
5.0,5,40,0,0,1.0,0.0,0.0
5.0,6,17,17,6,0.425,0.425,0.15
5.0,7,9,15,16,0.225,0.375,0.4
5.0,8,17,13,10,0.425,0.325,0.25
5.0,9,40,0,0,1.0,0.0,0.0
5.0,10,40,0,0,1.0,0.0,0.0
5.0,11,25,13,2,0.625,0.325,0.05
5.0,12,23,9,8,0.575,0.225,0.2
5.0,13,16,13,11,0.4,0.325,0.275
5.0,14,19,14,7,0.475,0.35,0.175
5.0,15,11,26,3,0.275,0.65,0.075
5.0,16,16,18,6,0.4,0.45,0.15
5.0,17,40,0,0,1.0,0.0,0.0
5.0,18,40,0,0,1.0,0.0,0.0
5.0,19,40,0,0,1.0,0.0,0.0
5.0,20,17,20,3,0.425,0.5,0.075
5.0,21,20,15,5,0.5,0.375,0.125
5.0,22,13,20,7,0.325,0.5,0.175
5.0,23,40,0,0,1.0,0.0,0.0
5.0,24,40,0,0,1.0,0.0,0.0
5.0,25,40,0,0,1.0,0.0,0.0
5.0,26,40,0,0,1.0,0.0,0.0
5.0,27,40,0,0,1.0,0.0,0.0
5.0,28,40,0,0,1.0,0.0,0.0
5.0,29,40,0,0,1.0,0.0,0.0
5.0,30,18,11,11,0.45,0.275,0.275
5.0,31,40,0,0,1.0,0.0,0.0
5.0,32,6,20,14,0.15,0.5,0.35
5.0,33,40,0,0,1.0,0.0,0.0
5.0,34,27,7,6,0.675,0.175,0.15
5.0,35,40,0,0,1.0,0.0,0.0
5.0,36,24,8,8,0.6,0.2,0.2
5.0,37,40,0,0,1.0,0.0,0.0
5.0,38,19,14,7,0.475,0.35,0.175
5.0,39,21,10,9,0.525,0.25,0.225
5.0,40,19,14,7,0.475,0.35,0.175
5.0,41,40,0,0,1.0,0.0,0.0
5.0,42,19,13,8,0.475,0.325,0.2
5.0,43,40,0,0,1.0,0.0,0.0
5.0,44,40,0,0,1.0,0.0,0.0
5.0,45,40,0,0,1.0,0.0,0.0
5.0,46,40,0,0,1.0,0.0,0.0
5.0,47,40,0,0,1.0,0.0,0.0
5.0,48,40,0,0,1.0,0.0,0.0
5.0,49,40,0,0,1.0,0.0,0.0
5.0,50,32,6,2,0.8,0.15,0.05
5.0,51,40,0,0,1.0,0.0,0.0
5.0,52,40,0,0,1.0,0.0,0.0
5.0,53,18,11,11,0.45,0.275,0.275
5.0,54,40,0,0,1.0,0.0,0.0
5.0,55,40,0,0,1.0,0.0,0.0
5.0,56,40,0,0,1.0,0.0,0.0
5.0,57,28,8,4,0.7,0.2,0.1
5.0,58,32,1,7,0.8,0.025,0.175
5.0,59,24,7,9,0.6,0.175,0.225
5.0,60,25,12,3,0.625,0.3,0.075
5.0,61,40,0,0,1.0,0.0,0.0
5.0,62,20,14,6,0.5,0.35,0.15
5.0,63,40,0,0,1.0,0.0,0.0
5.0,64,11,19,10,0.275,0.475,0.25
5.0,65,40,0,0,1.0,0.0,0.0
5.0,66,8,26,6,0.2,0.65,0.15
5.0,67,40,0,0,1.0,0.0,0.0
5.0,68,23,10,7,0.575,0.25,0.175
5.0,69,20,16,4,0.5,0.4,0.1
5.0,70,18,12,10,0.45,0.3,0.25
5.0,71,40,0,0,1.0,0.0,0.0
5.0,72,40,0,0,1.0,0.0,0.0
5.0,73,20,14,6,0.5,0.35,0.15
5.0,74,25,5,10,0.625,0.125,0.25
5.0,75,28,8,4,0.7,0.2,0.1
5.0,76,19,14,7,0.475,0.35,0.175
5.0,77,40,0,0,1.0,0.0,0.0
5.0,78,40,0,0,1.0,0.0,0.0
5.0,79,40,0,0,1.0,0.0,0.0
5.0,80,19,13,8,0.475,0.325,0.2
5.0,81,16,21,3,0.4,0.525,0.075
5.0,82,40,0,0,1.0,0.0,0.0
5.0,83,40,0,0,1.0,0.0,0.0
5.0,84,20,13,7,0.5,0.325,0.175
5.0,85,40,0,0,1.0,0.0,0.0
5.0,86,22,11,7,0.55,0.275,0.175
5.0,87,40,0,0,1.0,0.0,0.0
5.0,88,26,10,4,0.65,0.25,0.1
5.0,89,40,0,0,1.0,0.0,0.0
5.0,90,40,0,0,1.0,0.0,0.0
5.0,91,40,0,0,1.0,0.0,0.0
5.0,92,40,0,0,1.0,0.0,0.0
5.0,93,24,10,6,0.6,0.25,0.15
5.0,94,14,19,7,0.35,0.475,0.175
5.0,95,40,0,0,1.0,0.0,0.0
5.0,96,40,0,0,1.0,0.0,0.0
5.0,97,40,0,0,1.0,0.0,0.0
5.0,98,25,11,4,0.625,0.275,0.1
5.0,99,40,0,0,1.0,0.0,0.0
5.5,0,40,0,0,1.0,0.0,0.0
5.5,1,16,20,4,0.4,0.5,0.1
5.5,2,40,0,0,1.0,0.0,0.0
5.5,3,40,0,0,1.0,0.0,0.0
5.5,4,40,0,0,1.0,0.0,0.0
5.5,5,40,0,0,1.0,0.0,0.0
5.5,6,34,1,5,0.85,0.025,0.125
5.5,7,40,0,0,1.0,0.0,0.0
5.5,8,11,8,21,0.275,0.2,0.525
5.5,9,40,0,0,1.0,0.0,0.0
5.5,10,40,0,0,1.0,0.0,0.0
5.5,11,40,0,0,1.0,0.0,0.0
5.5,12,19,12,9,0.475,0.3,0.225
5.5,13,27,9,4,0.675,0.225,0.1
5.5,14,40,0,0,1.0,0.0,0.0
5.5,15,40,0,0,1.0,0.0,0.0
5.5,16,40,0,0,1.0,0.0,0.0
5.5,17,40,0,0,1.0,0.0,0.0
5.5,18,40,0,0,1.0,0.0,0.0
5.5,19,40,0,0,1.0,0.0,0.0
5.5,20,40,0,0,1.0,0.0,0.0
5.5,21,40,0,0,1.0,0.0,0.0
5.5,22,40,0,0,1.0,0.0,0.0
5.5,23,40,0,0,1.0,0.0,0.0
5.5,24,40,0,0,1.0,0.0,0.0
5.5,25,40,0,0,1.0,0.0,0.0
5.5,26,40,0,0,1.0,0.0,0.0
5.5,27,40,0,0,1.0,0.0,0.0
5.5,28,40,0,0,1.0,0.0,0.0
5.5,29,40,0,0,1.0,0.0,0.0
5.5,30,40,0,0,1.0,0.0,0.0
5.5,31,40,0,0,1.0,0.0,0.0
5.5,32,40,0,0,1.0,0.0,0.0
5.5,33,22,17,1,0.55,0.425,0.025
5.5,34,40,0,0,1.0,0.0,0.0
5.5,35,26,9,5,0.65,0.225,0.125
5.5,36,19,11,10,0.475,0.275,0.25
5.5,37,18,14,8,0.45,0.35,0.2
5.5,38,28,7,5,0.7,0.175,0.125
5.5,39,40,0,0,1.0,0.0,0.0
5.5,40,14,21,5,0.35,0.525,0.125
5.5,41,40,0,0,1.0,0.0,0.0
5.5,42,40,0,0,1.0,0.0,0.0
5.5,43,40,0,0,1.0,0.0,0.0
5.5,44,28,11,1,0.7,0.275,0.025
5.5,45,40,0,0,1.0,0.0,0.0
5.5,46,40,0,0,1.0,0.0,0.0
5.5,47,40,0,0,1.0,0.0,0.0
5.5,48,40,0,0,1.0,0.0,0.0
5.5,49,30,6,4,0.75,0.15,0.1
5.5,50,40,0,0,1.0,0.0,0.0
5.5,51,24,10,6,0.6,0.25,0.15
5.5,52,40,0,0,1.0,0.0,0.0
5.5,53,28,5,7,0.7,0.125,0.175
5.5,54,40,0,0,1.0,0.0,0.0
5.5,55,18,16,6,0.45,0.4,0.15
5.5,56,14,17,9,0.35,0.425,0.225
5.5,57,40,0,0,1.0,0.0,0.0
