delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
3.5,138,22,16,2,0.55,0.4,0.05,5.577336476729519
3.5,136,7,18,15,0.175,0.45,0.375,6.436167352509377
3.5,131,10,23,7,0.25,0.575,0.175,7.537030141252498
3.5,145,40,0,0,1.0,0.0,0.0,5.366196842703398
3.5,134,18,13,9,0.45,0.325,0.225,8.393677011682442
3.5,137,16,12,12,0.4,0.3,0.3,7.543503933009363
3.5,141,13,17,10,0.325,0.425,0.25,8.081470959321097
3.5,140,8,23,9,0.2,0.575,0.225,5.452726901269221
3.5,142,13,19,8,0.325,0.475,0.2,6.747012594131094
3.5,144,7,23,10,0.175,0.575,0.25,5.374508937441445
3.5,143,23,13,4,0.575,0.325,0.1,7.313188393810546
3.5,146,16,15,9,0.4,0.375,0.225,5.885888886572112
3.5,148,16,19,5,0.4,0.475,0.125,6.630831052439416
3.5,149,13,18,9,0.325,0.45,0.225,5.084841216575067
3.5,157,40,0,0,1.0,0.0,0.0,5.779734585424554
3.5,151,15,16,9,0.375,0.4,0.225,6.895215052175421
3.5,150,18,14,8,0.45,0.35,0.2,5.124769930156492
3.5,153,20,13,7,0.5,0.325,0.175,5.404197283483623
3.5,152,12,22,6,0.3,0.55,0.15,5.211850773623345
3.5,147,2,19,19,0.05,0.475,0.475,9.395683791010663
3.5,159,40,0,0,1.0,0.0,0.0,5.525760636793931
3.5,162,26,11,3,0.65,0.275,0.075,5.242178132639597
3.5,160,20,16,4,0.5,0.4,0.1,6.581633628977802
3.5,155,20,15,5,0.5,0.375,0.125,6.146998430684562
3.5,154,7,17,16,0.175,0.425,0.4,5.668421659490994
3.5,156,16,16,8,0.4,0.4,0.2,9.112130012682107
3.5,164,15,12,13,0.375,0.3,0.325,5.572423363173115
3.5,169,40,0,0,1.0,0.0,0.0,6.907638429734291
3.5,163,17,16,7,0.425,0.4,0.175,6.909707921149345
3.5,158,14,18,8,0.35,0.45,0.2,6.0916157554111505
3.5,166,7,21,12,0.175,0.525,0.3,6.070752058854422
3.5,165,5,21,14,0.125,0.525,0.35,6.856962902428682
3.5,161,6,30,4,0.15,0.75,0.1,7.918767864958115
3.5,167,15,14,11,0.375,0.35,0.275,6.055679662956797
3.5,168,21,12,7,0.525,0.3,0.175,5.3547297035054555
3.5,172,25,12,3,0.625,0.3,0.075,7.297507065307959
3.5,174,20,14,6,0.5,0.35,0.15,8.243634809829434
3.5,170,19,15,6,0.475,0.375,0.15,5.081965813504619
3.5,176,21,13,6,0.525,0.325,0.15,7.541250156901709
3.5,175,8,26,6,0.2,0.65,0.15,5.016371715574094
3.5,173,16,16,8,0.4,0.4,0.2,7.762176222024882
3.5,171,9,23,8,0.225,0.575,0.2,6.262374909923085
3.5,179,12,18,10,0.3,0.45,0.25,4.951707241287329
3.5,181,16,13,11,0.4,0.325,0.275,5.109672918328009
3.5,180,10,13,17,0.25,0.325,0.425,7.183160402943004
3.5,177,8,28,4,0.2,0.7,0.1,10.650342094341918
3.5,178,13,19,8,0.325,0.475,0.2,9.163904512355435
3.5,191,40,0,0,1.0,0.0,0.0,5.295622596933515
3.5,184,3,27,10,0.075,0.675,0.25,5.674387731938313
3.5,182,14,18,8,0.35,0.45,0.2,6.6493865187562
3.5,183,8,19,13,0.2,0.475,0.325,7.246512376342054
3.5,185,16,16,8,0.4,0.4,0.2,6.94063306190184
3.5,190,18,19,3,0.45,0.475,0.075,5.949249396296644
3.5,187,8,24,8,0.2,0.6,0.2,5.371017582123519
3.5,186,8,22,10,0.2,0.55,0.25,9.540130352788967
3.5,189,11,20,9,0.275,0.5,0.225,6.365137300226181
3.5,188,7,23,10,0.175,0.575,0.25,7.402626162979155
3.5,195,17,16,7,0.425,0.4,0.175,5.842255618294947
3.5,192,17,15,8,0.425,0.375,0.2,5.3573606003745855
3.5,194,3,30,7,0.075,0.75,0.175,5.714283824086927
3.5,193,8,20,12,0.2,0.5,0.3,5.657262143883749
3.5,199,40,0,0,1.0,0.0,0.0,5.5989451022735945
3.5,196,24,8,8,0.6,0.2,0.2,5.702173450603972
3.5,203,40,0,0,1.0,0.0,0.0,5.154292957190448
3.5,205,40,0,0,1.0,0.0,0.0,8.161639600910993
3.5,210,40,0,0,1.0,0.0,0.0,5.774517483688561
3.5,197,22,12,6,0.55,0.3,0.15,5.06109274620538
3.5,198,10,17,13,0.25,0.425,0.325,5.626079129017327
3.5,200,14,18,8,0.35,0.45,0.2,6.413236816853612
3.5,201,22,18,0,0.55,0.45,0.0,7.69456867493478
3.5,202,3,29,8,0.075,0.725,0.2,5.433294119087816
3.5,204,21,12,7,0.525,0.3,0.175,8.490365436084067
3.5,208,7,24,9,0.175,0.6,0.225,5.576058549665453
3.5,207,10,24,6,0.25,0.6,0.15,6.572486783221677
3.5,214,40,0,0,1.0,0.0,0.0,5.235876391548603
3.5,206,7,23,10,0.175,0.575,0.25,4.618057688093062
3.5,211,35,4,1,0.875,0.1,0.025,6.0837891684923395
3.5,218,40,0,0,1.0,0.0,0.0,5.411162776305323
3.5,221,40,0,0,1.0,0.0,0.0,5.647822304930625
3.5,217,22,13,5,0.55,0.325,0.125,6.705693494272779
3.5,209,13,12,15,0.325,0.3,0.375,5.467194481840553
3.5,212,6,21,13,0.15,0.525,0.325,6.716515258592636
3.5,215,11,17,12,0.275,0.425,0.3,7.320386504381443
3.5,213,14,19,7,0.35,0.475,0.175,5.453102976345517
3.5,227,40,0,0,1.0,0.0,0.0,5.601920586227956
3.5,220,10,21,9,0.25,0.525,0.225,5.509826653109004
3.5,216,8,20,12,0.2,0.5,0.3,5.570982925215645
3.5,219,12,19,9,0.3,0.475,0.225,6.814250560247433
3.5,225,5,23,12,0.125,0.575,0.3,6.090810411077824
3.5,226,21,14,5,0.525,0.35,0.125,7.921122238327902
3.5,222,13,18,9,0.325,0.45,0.225,6.135387420531865
3.5,224,14,19,7,0.35,0.475,0.175,8.554602404703704
3.5,223,7,25,8,0.175,0.625,0.2,7.269548718051604
3.5,236,40,0,0,1.0,0.0,0.0,5.498186078501715
3.5,228,2,28,10,0.05,0.7,0.25,5.535629127923421
3.5,237,40,0,0,1.0,0.0,0.0,6.403082202787891
3.5,233,19,16,5,0.475,0.4,0.125,5.705558019254932
3.5,230,10,19,11,0.25,0.475,0.275,9.324719502972945
3.5,231,11,16,13,0.275,0.4,0.325,6.3814358267125915
3.5,229,8,24,8,0.2,0.6,0.2,6.492650826867177
3.5,234,24,10,6,0.6,0.25,0.15,8.927981429331052
3.5,240,40,0,0,1.0,0.0,0.0,5.552404619115248
3.5,232,21,8,11,0.525,0.2,0.275,6.153490547376415
3.5,235,14,19,7,0.35,0.475,0.175,5.228898894148263
3.5,247,40,0,0,1.0,0.0,0.0,7.571450904326388
3.5,238,29,9,2,0.725,0.225,0.05,8.196678685929266
3.5,241,11,19,10,0.275,0.475,0.25,5.813855180522816
3.5,239,10,23,7,0.25,0.575,0.175,7.302857277607879
3.5,246,12,15,13,0.3,0.375,0.325,6.299792296920801
3.5,242,12,18,10,0.3,0.45,0.25,7.194136533294461
3.5,245,8,24,8,0.2,0.6,0.2,7.10554581986225
3.5,243,17,12,11,0.425,0.3,0.275,4.831351578744151
4.0,2,28,11,1,0.7,0.275,0.025,5.905255772081659
3.5,249,8,24,8,0.2,0.6,0.2,7.225451003207857
3.5,248,19,10,11,0.475,0.25,0.275,6.456843220657305
4.0,4,40,0,0,1.0,0.0,0.0,7.387801128110692
3.5,244,10,25,5,0.25,0.625,0.125,6.222341746054663
4.0,10,40,0,0,1.0,0.0,0.0,7.597503036501709
4.0,3,19,15,6,0.475,0.375,0.15,5.596653004595319
4.0,7,22,14,4,0.55,0.35,0.1,5.51913910084469
4.0,0,8,22,10,0.2,0.55,0.25,9.36057101645876
4.0,15,40,0,0,1.0,0.0,0.0,5.6511687628894425
4.0,6,26,9,5,0.65,0.225,0.125,7.384627860498834
4.0,8,18,16,6,0.45,0.4,0.15,10.296899781985193
4.0,1,18,14,8,0.45,0.35,0.2,6.5143797873642395
4.0,9,23,12,5,0.575,0.3,0.125,7.420976034073858
4.0,5,18,15,7,0.45,0.375,0.175,5.173345223074139
4.0,17,40,0,0,1.0,0.0,0.0,7.8353194788848075
4.0,11,26,11,3,0.65,0.275,0.075,6.465323250993211
