delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
0.0,93,8,25,7,0.2,0.625,0.175,5.149477134537431
0.0,100,6,30,4,0.15,0.75,0.1,4.105677514569673
0.0,95,9,29,2,0.225,0.725,0.05,2.972545740486624
0.0,101,6,31,3,0.15,0.775,0.075,3.1075609248124327
0.0,98,7,30,3,0.175,0.75,0.075,3.9356028269604457
0.0,104,8,31,1,0.2,0.775,0.025,3.4349360491031034
0.0,103,5,31,4,0.125,0.775,0.1,3.5288012267421762
0.0,102,5,32,3,0.125,0.8,0.075,3.1600304027819752
0.0,107,10,28,2,0.25,0.7,0.05,3.2156832653769136
0.0,106,8,30,2,0.2,0.75,0.05,3.5540837548109416
0.0,108,12,25,3,0.3,0.625,0.075,3.787368268274007
0.0,105,5,33,2,0.125,0.825,0.05,3.625857613442638
0.0,112,13,24,3,0.325,0.6,0.075,3.2246868952587833
0.0,115,8,27,5,0.2,0.675,0.125,3.7864821126779766
0.0,111,7,31,2,0.175,0.775,0.05,3.3232988677029454
0.0,110,4,28,8,0.1,0.7,0.2,5.728265227087188
0.0,114,4,32,4,0.1,0.8,0.1,4.091275880256991
0.0,109,5,28,7,0.125,0.7,0.175,4.185180782842766
0.0,113,11,24,5,0.275,0.6,0.125,3.5414219488401644
0.0,122,29,10,1,0.725,0.25,0.025,3.569038078528132
0.0,117,6,32,2,0.15,0.8,0.05,3.0654739793291266
0.0,120,7,32,1,0.175,0.8,0.025,3.6487403079054723
0.0,119,4,33,3,0.1,0.825,0.075,3.337839742110596
0.0,116,6,30,4,0.15,0.75,0.1,3.418050758883601
0.0,118,6,32,2,0.15,0.8,0.05,3.41875662782328
0.0,124,5,31,4,0.125,0.775,0.1,3.750644309047375
0.0,123,5,33,2,0.125,0.825,0.05,3.3926176445467733
0.0,130,40,0,0,1.0,0.0,0.0,3.0906518895278587
0.0,121,12,25,3,0.3,0.625,0.075,8.103705084915177
0.0,127,8,31,1,0.2,0.775,0.025,3.345656990926991
0.0,125,6,31,3,0.15,0.775,0.075,3.541591142886193
0.0,126,6,30,4,0.15,0.75,0.1,3.5942701814218063
0.0,128,9,30,1,0.225,0.75,0.025,3.482338866270827
0.0,129,3,34,3,0.075,0.85,0.075,3.903338223369601
0.0,131,10,27,3,0.25,0.675,0.075,3.6621340297253027
0.0,133,7,28,5,0.175,0.7,0.125,3.5856003684633757
0.0,135,8,26,6,0.2,0.65,0.15,3.1469254043284542
0.0,132,6,31,3,0.15,0.775,0.075,3.7704409478695053
0.0,136,10,27,3,0.25,0.675,0.075,3.3143247959842426
0.0,134,9,27,4,0.225,0.675,0.1,3.9021966111876205
0.0,137,4,34,2,0.1,0.85,0.05,3.775102309174547
0.0,140,4,34,2,0.1,0.85,0.05,3.614738436675014
0.0,138,2,36,2,0.05,0.9,0.05,3.229493502700582
0.0,144,7,28,5,0.175,0.7,0.125,3.6338974441536536
0.0,139,9,30,1,0.225,0.75,0.025,3.3961227821494666
0.0,141,6,31,3,0.15,0.775,0.075,3.10341724825068
0.0,146,9,27,4,0.225,0.675,0.1,3.319479522339317
0.0,143,7,32,1,0.175,0.8,0.025,3.5680742512942203
0.0,147,7,28,5,0.175,0.7,0.125,3.9360265576161426
0.0,142,9,28,3,0.225,0.7,0.075,3.603925887896311
0.0,145,7,27,6,0.175,0.675,0.15,4.457249093287044
0.0,153,8,30,2,0.2,0.75,0.05,3.6703574057442396
0.0,148,6,33,1,0.15,0.825,0.025,3.319692259726934
0.0,152,7,26,7,0.175,0.65,0.175,6.093795281906805
0.0,155,10,24,6,0.25,0.6,0.15,3.7177063056275244
0.0,150,5,34,1,0.125,0.85,0.025,3.245233061102737
0.0,154,4,32,4,0.1,0.8,0.1,4.0710509161033155
0.0,149,6,30,4,0.15,0.75,0.1,4.206826247471011
0.0,156,15,25,0,0.375,0.625,0.0,3.487456379307411
0.0,151,5,32,3,0.125,0.8,0.075,3.4831993641818486
0.0,159,10,28,2,0.25,0.7,0.05,4.014854550008485
0.0,157,4,31,5,0.1,0.775,0.125,3.160102742099074
0.0,164,4,29,7,0.1,0.725,0.175,4.622554216644724
0.0,158,14,25,1,0.35,0.625,0.025,4.0856502961956185
0.0,161,6,32,2,0.15,0.8,0.05,3.4167888002025806
0.0,166,7,30,3,0.175,0.75,0.075,3.5520512927049523
0.0,168,12,24,4,0.3,0.6,0.1,4.242270884381755
0.0,163,5,30,5,0.125,0.75,0.125,3.075916952562619
0.0,160,10,27,3,0.25,0.675,0.075,6.095772743430954
0.0,162,8,26,6,0.2,0.65,0.15,3.1412917721699127
0.0,165,3,37,0,0.075,0.925,0.0,2.9068884347245016
0.0,170,7,25,8,0.175,0.625,0.2,3.56728987920268
0.0,167,8,28,4,0.2,0.7,0.1,3.539601714098083
0.0,169,7,32,1,0.175,0.8,0.025,3.2509582707550266
0.0,171,5,31,4,0.125,0.775,0.1,5.355415012205231
0.0,177,8,31,1,0.2,0.775,0.025,3.2310783448236053
0.0,172,9,27,4,0.225,0.675,0.1,3.865804833532441
0.0,182,27,12,1,0.675,0.3,0.025,3.849333837183947
0.0,176,6,33,1,0.15,0.825,0.025,3.6208500507135057
0.0,180,6,31,3,0.15,0.775,0.075,3.9080180901905712
0.0,175,7,30,3,0.175,0.75,0.075,3.253327650956069
0.0,173,3,35,2,0.075,0.875,0.05,2.7713872230093464
0.0,174,4,30,6,0.1,0.75,0.15,3.3047290228476145
0.0,183,27,13,0,0.675,0.325,0.0,3.2503202577116874
0.0,181,14,23,3,0.35,0.575,0.075,3.4811927765141975
0.0,178,7,30,3,0.175,0.75,0.075,4.450001419193071
0.0,179,5,27,8,0.125,0.675,0.2,3.3950904617726083
0.0,188,24,14,2,0.6,0.35,0.05,3.889431532742486
0.0,185,10,29,1,0.25,0.725,0.025,3.7879910851374348
0.0,184,4,32,4,0.1,0.8,0.1,3.34855401963504
0.0,191,5,29,6,0.125,0.725,0.15,3.9692186502664177
0.0,186,9,28,3,0.225,0.7,0.075,3.0949773770302027
0.0,193,7,31,2,0.175,0.775,0.05,3.273083939593284
0.0,190,5,30,5,0.125,0.75,0.125,6.219712163403667
0.0,189,14,26,0,0.35,0.65,0.0,4.616519197595407
0.0,187,7,30,3,0.175,0.75,0.075,3.985638825296056
0.0,192,9,30,1,0.225,0.75,0.025,3.5488296150420746
0.0,197,24,14,2,0.6,0.35,0.05,4.859542955664466
0.0,198,18,21,1,0.45,0.525,0.025,5.213498617248648
0.0,194,9,29,2,0.225,0.725,0.05,3.5273940332880636
0.0,195,10,27,3,0.25,0.675,0.075,3.701608248032026
0.0,200,4,33,3,0.1,0.825,0.075,3.002295807535458
0.0,196,9,29,2,0.225,0.725,0.05,3.476983409813593
0.0,199,6,31,3,0.15,0.775,0.075,3.502302947136168
0.0,203,9,24,7,0.225,0.6,0.175,3.1830569980906582
0.0,201,3,34,3,0.075,0.85,0.075,3.4984693201156434
0.0,202,6,32,2,0.15,0.8,0.05,3.5410013466459853
0.0,207,4,30,6,0.1,0.75,0.15,3.060076021455231
0.0,204,3,32,5,0.075,0.8,0.125,3.7271256679278353
0.0,206,5,31,4,0.125,0.775,0.1,3.1955425949410468
0.0,205,2,32,6,0.05,0.8,0.15,3.5071113900630912
0.0,209,5,33,2,0.125,0.825,0.05,3.8332867495644165
0.0,210,10,26,4,0.25,0.65,0.1,3.0388320915708342
0.0,212,8,30,2,0.2,0.75,0.05,3.7852913872683813
0.0,208,9,26,5,0.225,0.65,0.125,4.180621315338754
0.0,211,14,24,2,0.35,0.6,0.05,4.09920997832605
0.0,213,13,26,1,0.325,0.65,0.025,3.5932331101001624
0.0,220,16,21,3,0.4,0.525,0.075,4.074390958720324
