"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Class","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"may-g1",2,2,0,26.23545228,541.3559604,2.733482923,"Before","Schreck",6.48489564,0.811902991,3,1.234645913,2,0,-1000,0.912036543,0.416877181
"may-g1",2,2,0,22.00617927,541.3559604,2.733482923,"Before","Schreck",18.53850992,1.268074824,7,0.20106193,7,0.069115038,-1.160427446,2.762308608,6.183097077
"may-g1",2,2,0,17.3305676,541.3559604,2.733482923,"Before","Schreck",45.4761223,1.657783426,20,0.163362818,8,0.021991149,-1.657752087,1.804066949,5.657871521
"may-g1",2,2,0,26.22852004,541.3559604,2.733482923,"Before","Schreck",48.65573047,1.687133997,22,0.021991149,22,0.025132741,-1.59976014,3.087568693,0.08326278
"may-g1",2,2,0,83.99763819,541.3559604,2.733482923,"Before","Schreck",6.873027117,0.837148057,4,0.292168117,4,0.411548638,-0.385578832,0.042859728,6.088866875
"may-g1",2,2,0,29.26846817,541.3559604,2.733482923,"Before","Schreck",34.61156319,1.539221214,14,0.075398224,13,0.232477856,-0.633618408,0.293650508,0.203165661
"may-g1",2,2,0,44.25561028,541.3559604,2.733482923,"Before","Schreck",23.69342326,1.374627813,8,0.091106187,11,0.125663706,-0.900790136,0.164868964,6.155470474
"may-g1",2,2,0,42.83483521,541.3559604,2.733482923,"Before","Schreck",34.2702375,1.534917114,13,0.037699112,17,0.037699112,-1.423668881,0.042171144,6.023845348
"may-g1",2,2,0,73.07148013,541.3559604,2.733482923,"Before","Schreck",7.216997618,0.858356562,5,1.140398133,2,0.009424778,-2.025728873,1.085964921,3.217730618
"may-g1",2,2,0,16.96714579,541.3559604,2.733482923,"Before","Schreck",35.02297494,1.544353033,15,0.062831853,15,0,-1000,2.971968952,5.952670534
"may-g1",2,2,0,34.46751784,541.3559604,2.733482923,"Before","Schreck",28.86944273,1.460438401,10,0.04712389,18,0.015707963,-1.803880123,0.089106599,0.04080081
"may-g1",3,3,1,194.4491474,551.6705499,2.7416798,"Before","Schreck",8.278000619,0.917925455,1,0.204203522,3,0.034557519,-1.461457442,0.030188668,1.219221866
"may-g1",3,3,0,48.03596665,551.6705499,2.7416798,"Before","Schreck",18.09303329,1.257511382,4,0.037699112,19,0.006283185,-2.201820132,1.12105039,1.155966033
"may-g1",3,3,0,31.03827173,551.6705499,2.7416798,"Before","Schreck",27.7107719,1.442648623,5,0.185353967,8,0.006283185,-2.201820132,1.041962381,0.880510513
"may-g1",3,3,0,60.09781809,551.6705499,2.7416798,"Before","Schreck",11.22897467,1.050340102,2,0.706858347,2,0.025132741,-1.59976014,0.990056603,1.448592174
"may-g1",3,3,0,19.96410505,551.6705499,2.7416798,"Before","Schreck",30.14333354,1.479191279,6,0.26075219,10,0.006283185,-2.201820132,1.358153109,1.260421871
"may-g1",3,3,0,27.08767028,551.6705499,2.7416798,"Before","Schreck",37.86492156,1.578237061,12,0.194778745,10,0.003141593,-2.502850127,1.263514613,1.446839903
"may-g1",3,3,0,10.29500758,551.6705499,2.7416798,"Before","Schreck",31.40723228,1.497029666,7,0.062831853,18,0.065973446,-1.180630833,1.140403863,0.984291023
"may-g1",3,3,0,30.84973417,551.6705499,2.7416798,"Before","Schreck",46.89732406,1.671148063,16,0.069115038,19,0.015707963,-1.803880123,1.103305579,1.397742987
