"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"g1",3,3,0,29.90688747,317.9144005,2.5023102,"Before",25.07640857,1.399265337,7,0.006283185,14,0.141371669,-0.849637614,1.121410718,0.847411763
"g1",3,3,0,20.15706152,317.9144005,2.5023102,"Before",6.619313355,0.820812941,1,1.212654764,2,0.408407045,-0.388906775,0.73126055,1.443721586
"g1",3,3,0,25.44150796,317.9144005,2.5023102,"Before",25.3735335,1.404380951,8,0.282743339,4,0.04712389,-1.326758868,0.796886328,0.94905472
"g1",3,3,0,35.77358501,317.9144005,2.5023102,"Before",18.91071164,1.276707872,5,0.464955713,2,0,-1000,1.388800227,1.233879179
"g1",3,3,0,76.01557636,317.9144005,2.5023102,"Before",11.36085935,1.055411183,2,0,26,0.097389372,-1.011488433,0.644824657,0.977649083
"g1",3,3,0,29.02855411,317.9144005,2.5023102,"Before",37.61558362,1.575367805,12,0.235619449,4,0,-1000,1.615907428,1.06931581
"g1",3,3,0,31.84711578,317.9144005,2.5023102,"Before",23.60207261,1.372950142,6,0,25,0.097389372,-1.011488433,0.459130686,1.225921212
"g1",3,3,0,33.80582407,317.9144005,2.5023102,"Before",29.03281792,1.46288919,10,0.05969026,20,0.009424778,-2.025728873,0.809643981,1.430622091
"g1",4,4,0,18.55525953,150.8143529,2.178442675,"Before",40.36288643,1.605982216,22,0.131946891,6,0.006283185,-2.201820132,2.381499194,2.389544303
"g1",4,4,0,17.72231917,150.8143529,2.178442675,"Before",13.01908043,1.11458031,4,0.52150438,2,0.040840704,-1.388906775,1.386120072,5.612753541
"g1",4,4,0,20.44301534,150.8143529,2.178442675,"Before",15.44981787,1.188923364,5,0,14,0.163362818,-0.786846784,0.080362135,3.787776165
"g1",4,4,0,15.61690579,150.8143529,2.178442675,"Before",31.99032093,1.505018597,18,0.103672558,13,0.056548668,-1.247577622,0.73321449,3.152487255
"g1",4,4,0,11.0334559,150.8143529,2.178442675,"Before",18.04780009,1.256424272,9,0.279601746,10,0.025132741,-1.59976014,0.035865756,2.944135775
"g1",4,4,0,13.3791874,150.8143529,2.178442675,"Before",27.13312193,1.433499766,15,0,28,0,-1000,0.342553749,0.342309982
"g1",4,4,0,22.21174139,150.8143529,2.178442675,"Before",16.90342109,1.22797461,8,0.056548668,20,0.021991149,-1.657752087,0.655877031,0.314838239
"g1",4,4,0,26.87249286,150.8143529,2.178442675,"Before",36.42769941,1.561431744,20,0,22,0.006283185,-2.201820132,0.45883977,4.630030129
"g1",4,4,0,2.823243037,150.8143529,2.178442675,"Before",18.8165753,1.274540583,10,0,29,0.018849556,-1.724698877,1.34848108,0.175096546
"g1",4,4,0,15.77868708,150.8143529,2.178442675,"Before",28.85613137,1.460238106,17,0.194778745,1,0.028274334,-1.548607618,2.397133993,2.4033181
"g1",4,4,0,19.5596313,150.8143529,2.178442675,"Before",23.89638089,1.378332132,14,0,8,0.009424778,-2.025728873,0.30576957,0.89803072
"g1",4,4,0,28.30560866,150.8143529,2.178442675,"Before",16.7694071,1.224517708,7,0.043982297,7,0.003141593,-2.502850127,2.770765208,5.887260062
"g1",4,4,0,25.60552667,150.8143529,2.178442675,"Before",22.34045658,1.349092045,13,0,29,0,-1000,0.396038227,5.880418332
"g1",4,4,0,19.71480121,150.8143529,2.178442675,"Before",20.1268281,1.303775337,11,0,9,0.015707963,-1.803880123,0.311072785,0.138345983
"g1",4,4,0,24.25330793,150.8143529,2.178442675,"Before",20.54678473,1.312743871,12,0,15,0.012566371,-1.900790136,0.226979041,2.436952008
"g1",4,4,0,17.54083851,150.8143529,2.178442675,"Before",12.15281715,1.084676963,3,0.452389342,6,0.021991149,-1.657752087,0.002267353,5.358524547
"g1",4,4,0,23.6238958,150.8143529,2.178442675,"Before",9.505489633,0.977974493,1,0.537212344,4,0.04712389,-1.326758868,0.339100524,5.871592254
"g1",4,4,0,13.97597587,150.8143529,2.178442675,"Before",15.49677038,1.190241198,6,0,21,0.015707963,-1.803880123,0.378184648,5.840317102
"g1",4,4,0,2.507520983,150.8143529,2.178442675,"Before",34.12292673,1.533046274,19,0,25,0,-1000,0.528654471,3.817923833
"g1",4,4,0,34.08763549,150.8143529,2.178442675,"Before",9.896466932,0.995480178,2,0.430398194,7,0.025132741,-1.59976014,0.617781576,5.932205899
"g1",4,4,0,1.676655199,150.8143529,2.178442675,"Before",37.54662192,1.57457087,21,0,7,0.050265482,-1.298730145,0.373020328,1.311713972
"g1",4,4,0,18.22702692,150.8143529,2.178442675,"Before",28.57175059,1.45593685,16,0,16,0.018849556,-1.724698877,0.315244383,0.330777891
"g1",5,5,0,25.02012646,405.0387744,2.6074966,"Before",19.18913863,1.28305548,2,0.433539786,2,0,-1000,1.257356937,0.78225367
"g1",5,5,0,11.33710771,405.0387744,2.6074966,"Before",42.73898098,1.630824163,6,0.028274334,20,0,-1000,0.6893743,0.797231855
"g1",5,5,0,60.83520028,405.0387744,2.6074966,"Before",9.905257466,0.995865769,1,0.933053018,1,0.025132741,-1.59976014,0.963671128,1.469603299
"g1",5,5,0,16.58076585,405.0387744,2.6074966,"Before",20.1180338,1.303585533,3,0.317300858,4,0.037699112,-1.423668881,0.947731746,0.952449077
"g1",5,5,0,14.78857415,405.0387744,2.6074966,"Before",20.48722457,1.311483128,4,0.270176968,4,0.028274334,-1.548607618,0.659700074,1.05534552
"g1",5,5,0,12.19954819,405.0387744,2.6074966,"Before",36.42438353,1.56139221,5,0.100530965,8,0.028274334,-1.548607618,1.024782716,1.115288337
"g1",6,6,0,20.17849447,418.615138,2.621814929,"Before",44.45547841,1.647925288,10,0.053407075,22,0,-1000,3.062773884,2.007934415
"g1",6,6,0,1.168279626,418.615138,2.621814929,"Before",42.70289494,1.630457318,9,0,27,0,-1000,0.709792825,2.233308937
"g1",6,6,0,13.79639443,418.615138,2.621814929,"Before",49.28029616,1.692673309,13,0,31,0.018849556,-1.724698877,0.229578436,2.06310654
"g1",6,6,0,19.8332028,418.615138,2.621814929,"Before",45.79375164,1.660806224,11,0.069115038,19,0.025132741,-1.59976014,0.387799374,2.473464704
"g1",6,6,0,1.455368327,418.615138,2.621814929,"Before",17.79547632,1.250309617,3,0.15393804,11,0.037699112,-1.423668881,0.314592721,1.869066637
"g1",6,6,0,10.81764988,418.615138,2.621814929,"Before",35.95685282,1.555781672,7,0,23,0,-1000,0.749242676,1.967813288
"g1",6,6,0,23.88525519,418.615138,2.621814929,"Before",26.14665637,1.417416159,5,0.226194671,8,0,-1000,2.251420286,2.596444957
"g1",6,6,0,34.67089721,418.615138,2.621814929,"Before",13.16785578,1.119515061,1,0.383274304,4,0,-1000,2.019151697,1.169935987
"g1",6,6,0,6.864671043,418.615138,2.621814929,"Before",24.91347507,1.39643431,4,0,21,0,-1000,0.306560305,2.647854526
"g1",6,6,0,2.520984539,418.615138,2.621814929,"Before",17.52006511,1.243535716,2,0.163362818,8,0.015707963,-1.803880123,2.996100464,1.81269425
